"$misalignment_angle [deg]","$slide [mm]","Freq [kHz]","$gap [mm]","Matrix1.CplCoef(Current1,Current2) []"
-20,0,150,100,0.0319451114006043
-20,0,150,120,0.0206217025183367
-20,0,150,140,0.01392591817765
-20,0,150,160,0.00976313595661351
-20,0,150,180,0.00705125908023433
-20,0,150,200,0.00523816065169445
-10,0,150,100,0.0320366857821268
-10,0,150,120,0.02088655859611
-10,0,150,140,0.0142568968611847
-10,0,150,160,0.0100477971483782
-10,0,150,180,0.00727951457315824
-10,0,150,200,0.00537542756378962
0,0,150,100,0.0323402014156938
0,0,150,120,0.0210566768250283
0,0,150,140,0.0143044030268281
0,0,150,160,0.0101027094444794
0,0,150,180,0.00736265375269767
0,0,150,200,0.00546155661588602
10,0,150,100,0.0321179977316813
10,0,150,120,0.020882868717987
10,0,150,140,0.0141922583447763
10,0,150,160,0.0100593632378767
10,0,150,180,0.0072691831079136
10,0,150,200,0.0053993883260673
20,0,150,50,0.126447117049109
20,0,150,100,0.0318921308578371
20,0,150,120,nan
20,0,150,140,0.0139168049538872
20,0,150,160,0.00978457553322884
20,0,150,180,0.00710977569589046
20,0,150,200,0.00524358370952482
-20,20,150,100,0.0301645297617436
-20,20,150,120,0.0195564801489898
-20,20,150,140,0.0132508675390585
-20,20,150,160,0.00937937222048323
-20,20,150,180,0.00676233631701177
-20,20,150,200,0.0050419901569644
-10,20,150,100,0.0310045759428741
-10,20,150,120,0.020089201774661
-10,20,150,140,0.0137284403851123
-10,20,150,160,0.00971515170821315
-10,20,150,180,0.00708257125575515
-10,20,150,200,0.00527976417163125
0,20,150,100,0.0314509524727271
0,20,150,120,0.0206862804852969
0,20,150,140,0.014071644636875
0,20,150,160,0.00997701034606684
0,20,150,180,0.0072838493578973
0,20,150,200,0.00542150390605517
10,20,150,100,0.0316790571708798
10,20,150,120,nan
10,20,150,140,0.0141417183898041
10,20,150,160,0.00997229287585955
10,20,150,180,0.00729623650466601
10,20,150,200,0.00543106040878835
20,20,150,100,0.0317355067604555
20,20,150,120,0.0205946622059207
20,20,150,140,0.0140272139655714
20,20,150,160,0.00989001024142774
20,20,150,180,0.00714012215131927
20,20,150,200,0.00534038505596344
-20,40,150,100,0.0266476169732555
-20,40,150,120,0.0175337959670351
-20,40,150,140,0.0120436886938261
-20,40,150,160,0.00863766775176347
-20,40,150,180,0.00628874948568585
-20,40,150,200,0.00469382464757894
-10,40,150,100,0.02792705626042
-10,40,150,120,0.0185309098183515
-10,40,150,140,0.0128865822351333
-10,40,150,160,0.00915043727429663
-10,40,150,180,0.00672533826419906
-10,40,150,200,0.00506322493051085
0,40,150,100,0.028819185633947
0,40,150,120,0.0191480050977473
0,40,150,140,0.0133487490300031
0,40,150,160,0.00945729015364722
0,40,150,180,0.00699696284704394
0,40,150,200,0.00523382633634296
10,40,150,100,0.0293713929693742
10,40,150,120,0.0196140141518689
10,40,150,140,0.0135501504555984
10,40,150,160,0.00965501802203186
10,40,150,180,0.00707743017660449
10,40,150,200,0.00529739197170451
20,40,150,100,0.0299513442293847
20,40,150,120,0.019874482133576
20,40,150,140,0.0136770016796721
20,40,150,160,0.00968563209125392
20,40,150,180,0.00704120045588076
20,40,150,200,0.0052949735717618
-20,60,150,100,0.0216629534208263
-20,60,150,120,0.0149689375273249
-20,60,150,140,0.0105117052948672
-20,60,150,160,0.00766730011116323
-20,60,150,180,0.00568975503675298
-20,60,150,200,0.00432580636753775
-10,60,150,100,0.0237762899205805
-10,60,150,120,0.0161529282128717
-10,60,150,140,0.0114695899336576
-10,60,150,160,0.00831810229069574
-10,60,150,180,0.00616937658930148
-10,60,150,200,0.00468691476479197
0,60,150,100,0.02514370517238
0,60,150,120,0.0171660321559993
0,60,150,140,0.0121735614945922
0,60,150,160,0.00880609196044506
0,60,150,180,0.0065106094560283
0,60,150,200,0.00493992510274859
10,60,150,100,0.0258968022412067
10,60,150,120,0.0177377968774113
10,60,150,140,0.0125901919422293
10,60,150,160,0.0090805115452435
10,60,150,180,0.00675180854909769
10,60,150,200,0.00509906371115247
20,60,150,100,0.0267057596814827
20,60,150,120,0.0181267756644413
20,60,150,140,0.0128176956094519
20,60,150,160,0.0091634318652227
20,60,150,180,0.00680899888299147
