"$misalignment_angle [deg]","$slide [mm]","Freq [kHz]","$gap [mm]","Matrix1.CplCoef(Current1,Current2) []"
-10,-100,150,50,nan
-10,-100,150,100,0.0229070673362204
-10,-100,150,150,nan
-5,-100,150,50,0.0314161766857773
-5,-100,150,100,0.0238600546791744
-5,-100,150,150,0.0153221120610464
0,-100,150,50,0.0305731621054416
0,-100,150,100,0.0249770740906334
0,-100,150,150,0.0158780166844968
5,-100,150,50,0.0305258197833987
5,-100,150,100,0.0259548116236149
5,-100,150,150,nan
10,-100,150,50,nan
10,-100,150,100,0.0266423405346886
10,-100,150,150,0.017387456566732
-10,-50,150,50,0.130212849578664
-10,-50,150,100,0.0535603379469681
-10,-50,150,150,0.0256979287817908
-5,-50,150,50,0.136867878727288
-5,-50,150,100,0.055019580149538
-5,-50,150,150,nan
0,-50,150,50,0.142676285392482
0,-50,150,100,0.0573860745959108
0,-50,150,150,0.0272190501744317
5,-50,150,50,0.149871555743472
5,-50,150,100,0.0588205393608634
5,-50,150,150,0.0281524806782064
10,-50,150,50,nan
10,-50,150,100,0.0620101598881369
10,-50,150,150,0.0288729698999285
-10,0,150,50,0.222168535864246
-10,0,150,100,0.0758843747257925
-10,0,150,150,0.0325789623501588
-5,0,150,50,0.219830297947931
-5,0,150,100,0.075286222245764
-5,0,150,150,0.0324488398775664
0,0,150,50,0.220151132532755
0,0,150,100,0.0748928484090487
0,0,150,150,0.0323122936762042
5,0,150,50,0.220032942294191
5,0,150,100,0.0753919604188949
5,0,150,150,0.0325154613426642
10,0,150,50,0.222008155779591
10,0,150,100,0.0758761907503846
10,0,150,150,0.0325325533220982
-10,50,150,50,0.157146567995765
-10,50,150,100,0.061150132143507
-10,50,150,150,0.0290197714109046
-5,50,150,50,0.149527267011443
-5,50,150,100,nan
-5,50,150,150,0.0279248687994476
0,50,150,50,0.141814723139736
0,50,150,100,0.05693707875591
0,50,150,150,0.0269794637452985
5,50,150,50,nan
5,50,150,100,0.0552906379220182
5,50,150,150,0.0262665079441479
10,50,150,50,0.132007004680606
10,50,150,100,0.0535606911783073
10,50,150,150,0.0256192013708896
-10,100,150,50,0.030362674052835
-10,100,150,100,0.0267082078837985
-10,100,150,150,0.0174447456247129
-5,100,150,50,0.0313162349170985
-5,100,150,100,nan
-5,100,150,150,0.016633885204015
0,100,150,50,0.0313975239114645
0,100,150,100,0.024768435186954
0,100,150,150,0.0158858558143023
5,100,150,50,0.0313891814567283
5,100,150,100,0.0242268871335425
5,100,150,150,0.0153094976506597
10,100,150,50,0.0291435409000105
10,100,150,100,nan
10,100,150,150,0.014674652516755
