misalignment,slide,gap,rx_self_inductance,tx_self_inductance,mutual_inductance
-20,0,100,96.30844762,96.30894919,3.102369294
-20,0,120,96.42399436,95.76454966,2.007684574
-20,0,140,96.66729974,96.26232644,1.369310609
-20,0,160,95.99414294,96.27950636,0.963980206
-20,0,180,95.55661881,95.4782141,0.698270275
-20,0,200,95.98834414,95.6027872,0.525984013
-10,0,100,96.75040734,95.69689087,3.10961717
-10,0,120,96.52942638,95.90690936,2.036869734
-10,0,140,96.80883459,96.61723715,1.40615655
-10,0,160,96.88316533,96.23619025,0.997038275
-10,0,180,96.41162861,96.23472031,0.727280391
-10,0,200,95.84945944,96.4520523,0.542058781
0,0,100,96.40600542,95.97308078,3.138423703
0,0,120,96.40030491,96.08362591,2.054389642
0,0,140,96.43569053,96.18274488,1.405254641
0,0,160,96.78396775,96.45977106,1.003362154
0,0,180,96.69971733,96.03902502,0.736155569
0,0,200,95.96826078,96.022992,0.55004338
10,0,100,96.49574217,96.14128207,3.120567316
10,0,120,96.32787857,96.1355404,2.036774992
10,0,140,96.43571071,96.35327246,1.395206109
10,0,160,96.30356502,96.4615363,0.996365702
10,0,180,96.86664299,96.43039917,0.728756777
10,0,200,95.99594896,96.38832882,0.544702559
20,0,50,95.60706035,95.09937087,12.07811391
20,0,100,96.33543978,96.15424099,3.095229764
20,0,120,nan,nan,nan
20,0,140,96.70454046,96.07238108,1.367326199
20,0,160,96.20495037,95.91777432,0.965455963
20,0,180,97.03529929,96.43494122,0.712968786
20,0,200,96.53124648,96.51402984,0.530422199
-20,20,100,96.57111756,96.17316932,2.932754835
-20,20,120,95.8141308,96.14144617,1.902990067
-20,20,140,96.36839508,96.49801838,1.303591733
-20,20,160,96.68745249,96.37937498,0.930955778
-20,20,180,96.3774878,95.74338303,0.674323539
-20,20,200,95.86855071,95.93183557,0.507635579
-10,20,100,96.54602346,96.26872061,3.016245318
-10,20,120,96.67438319,95.86010215,1.961021755
-10,20,140,96.62054332,95.87530885,1.348343631
-10,20,160,96.67225886,96.30531174,0.964054812
-10,20,180,96.76940531,96.08027301,0.708997149
-10,20,200,96.69592138,96.38743256,0.535094213
0,20,100,96.66130884,95.91998468,3.056086254
0,20,120,96.71239106,96.48620214,2.026306224
0,20,140,96.33630251,96.14375615,1.381919956
0,20,160,95.96947815,95.50252021,0.982291824
0,20,180,96.28413401,96.50985992,0.728851462
0,20,200,95.86063421,96.04635294,0.546018647
10,20,100,96.77854877,95.73578751,3.076474589
10,20,120,nan,nan,nan
10,20,140,96.37739509,95.95962674,1.387123156
10,20,160,96.20880057,96.18739497,0.98597649
10,20,180,97.15703662,96.45019321,0.732589839
10,20,200,97.16124573,96.39946522,0.551172477
20,20,100,96.78454866,96.04599921,3.08560363
20,20,120,95.7244097,96.07386686,2.000926645
20,20,140,96.11796105,96.51788451,1.376956253
20,20,160,96.80214175,96.50366095,0.98146619
20,20,180,95.73813453,95.08284612,0.706016502
20,20,200,96.01284843,95.99048451,0.53701178
-20,40,100,96.52404633,96.31727132,2.595086864
-20,40,120,95.4842644,96.23286633,1.706469061
-20,40,140,95.06386295,96.13473813,1.176740229
-20,40,160,97.27628884,96.59436463,0.86270265
-20,40,180,96.52147203,96.06394281,0.630062915
-20,40,200,96.35386938,96.57389772,0.476618626
-10,40,100,95.96420094,95.98994647,2.707347834
-10,40,120,97.09712893,96.3606505,1.819801895
-10,40,140,96.66519261,96.45314954,1.271489396
-10,40,160,96.94989121,95.88342743,0.908785511
-10,40,180,96.34249033,95.59762711,0.671360125
-10,40,200,96.42932745,95.83671227,0.512060771
0,40,100,96.51521743,95.6210287,2.796184567
0,40,120,96.01250134,96.33621587,1.869222739
0,40,140,96.46622084,96.33513288,1.314477785
0,40,160,95.8796551,96.21209263,0.935159587
0,40,180,96.88750148,96.40786788,0.702844119
0,40,200,96.39629022,95.69467105,0.528410658
10,40,100,96.75525952,95.52257572,2.850752015
10,40,120,96.32420328,96.24311499,1.915741832
10,40,140,96.14011348,96.33326157,1.331139232
10,40,160,96.42613896,95.94602453,0.95529354
10,40,180,95.75869608,95.91882374,0.704219168
10,40,200,95.61815581,95.65453568,0.531831468
20,40,100,96.66479042,95.93454941,2.910222314
20,40,120,97.01168379,96.32678968,1.947452719
20,40,140,96.41380864,95.72682549,1.339954857
20,40,160,96.13179645,96.53706882,0.958505083
20,40,180,95.84595708,96.31792969,0.701293229
20,40,200,96.83387838,96.326211,0.535805401
-20,60,100,96.28769196,95.40542599,2.101877112
-20,60,120,96.19323453,95.98408069,1.46405105
-20,60,140,96.58802246,95.78684268,1.036516343
-20,60,160,96.07807593,95.87689638,0.760862
-20,60,180,95.66422498,95.78599593,0.568909708
-20,60,200,95.74072746,95.74510632,0.437788622
-10,60,100,96.42023505,96.02002177,2.314873198
-10,60,120,95.50724148,95.68922342,1.571105962
-10,60,140,96.302792,96.14850942,1.130462231
-10,60,160,96.60468973,95.83305319,0.826614854
-10,60,180,95.80305649,96.25598738,0.617994385
-10,60,200,96.05651642,95.4476486,0.473669071
0,60,100,96.72157436,96.2751452,2.454153854
0,60,120,96.34273894,96.35284977,1.681613617
0,60,140,96.80546617,95.9039713,1.200456237
0,60,160,95.98300016,96.10914419,0.872642739
0,60,180,96.17149496,96.45099798,0.653193718
0,60,200,96.63033612,95.68545804,0.50049983
10,60,100,96.32983441,95.92167974,2.516443654
10,60,120,96.37352338,96.42019853,1.737089797
10,60,140,96.21038412,96.56240985,1.240593926
10,60,160,96.21322207,96.1637748,0.899943186
10,60,180,96.43304707,95.71876654,0.674695396
10,60,200,96.35383673,96.57794704,0.517141827
20,60,100,96.45989959,96.3262413,2.600255695
20,60,120,96.44017399,95.89339718,1.769096986
20,60,140,96.91759351,96.02949659,1.262515433
20,60,160,96.20327336,95.63818614,0.904057304
20,60,180,96.26458013,95.94010516,0.679229848
20,60,200,97.04588705,96.38634826,0.521043811
-20,80,100,96.52847978,95.76020878,1.622847686
-20,80,120,nan,nan,nan
-20,80,140,96.80189104,96.593725,0.872998431
-20,80,160,95.80504264,95.95869966,0.646011519
-20,80,180,96.98513979,96.53393089,0.511249779
-20,80,200,96.57542622,96.57667027,0.393311864
-10,80,100,96.17488812,95.41068594,1.837217276
-10,80,120,96.43737794,95.56486246,1.325250922
-10,80,140,96.64925526,96.64315007,0.976147516
-10,80,160,96.39441716,95.78795183,0.724747891
-10,80,180,96.14454615,95.45328512,0.558227032
-10,80,200,95.42502383,96.09160048,0.432413769
0,80,100,96.60353996,96.27968794,2.000688725
0,80,120,95.57464479,96.21692504,1.423134483
0,80,140,96.24937104,95.59174856,1.04653489
0,80,160,96.51499954,96.36971723,0.793801486
0,80,180,96.41729855,96.01347463,0.601059753
0,80,200,96.26311093,96.23218151,0.468412976
10,80,100,95.5101664,95.88237919,2.109414045
10,80,120,95.83961201,95.87136602,1.508645476
10,80,140,95.98390475,96.3495251,1.104128325
10,80,160,96.5691271,96.18569948,0.825264085
10,80,180,95.41446886,95.49703693,0.619912769
10,80,200,96.71861058,96.35016563,0.486744714
20,80,100,96.34230499,96.24644529,2.209415584
20,80,120,96.17833075,95.58971553,1.554890255
