misalignment,slide,gap,rx_self_inductance,tx_self_inductance,mutual_inductance
-20,0,100,96.27638623,96.27664483,3.075564014
-20,0,120,96.3909652,95.73164325,1.980935974
-20,0,140,96.63396765,96.22890436,1.342893326
-20,0,160,95.96097975,96.24570259,0.938268956
-20,0,180,95.52302923,95.44428496,0.673279947
-20,0,200,95.95435671,95.56888844,0.501613747
-10,0,100,96.71846577,95.66504557,3.081618853
-10,0,120,96.49699844,95.87407207,2.008974285
-10,0,140,96.77553316,96.58376148,1.378351082
-10,0,160,96.84957383,96.20242928,0.969868234
-10,0,180,96.37808627,96.20083736,0.700940244
-10,0,200,95.81622548,96.41817806,0.516668523
0,0,100,96.37386674,95.94098516,3.109742645
0,0,120,96.36752171,96.05069704,2.025841378
0,0,140,96.40243531,96.14945858,1.377168758
0,0,160,96.750374,96.42615701,0.975801808
0,0,180,96.66589396,96.00510155,0.709280743
0,0,200,95.93456198,95.98888062,0.524100353
10,0,100,96.46392523,96.10925706,3.092527271
10,0,120,96.29549898,96.10277753,2.008912967
10,0,140,96.40279752,96.31976913,1.3675841
10,0,160,96.27012544,96.42770826,0.969208428
10,0,180,96.83293605,96.3964576,0.70230813
10,0,200,95.96236675,96.35440947,0.519195399
20,0,50,95.57837689,95.07112213,12.05349709
20,0,100,96.30328173,96.12197858,3.068424429
20,0,120,nan,nan,nan
20,0,140,96.67128971,96.03898247,1.340948417
20,0,160,96.17137492,95.88391704,0.939588703
20,0,180,97.00115894,96.40082832,0.687519062
20,0,200,96.49738812,96.48005262,0.50594668
-20,20,100,96.53890143,96.14093429,2.906042121
-20,20,120,95.78138619,96.10824786,1.876340187
-20,20,140,96.33531796,96.46454892,1.277382462
-20,20,160,96.65381508,96.34548983,0.905105005
-20,20,180,96.34395453,95.70941081,0.649361179
-20,20,200,95.83474657,95.89770518,0.483356541
-10,20,100,96.51393595,96.2364591,2.988069034
-10,20,120,96.64178474,95.82755035,1.933260354
-10,20,140,96.58729584,95.84217369,1.320868348
-10,20,160,96.63893186,96.27161018,0.937075892
-10,20,180,96.73557141,96.04658682,0.682692326
-10,20,200,96.66203652,96.35351572,0.509537648
0,20,100,96.62913243,95.88776438,3.027397438
0,20,120,96.67944929,96.45305769,1.997595233
0,20,140,96.30313836,96.11016998,1.353785168
0,20,160,95.9357314,95.46868396,0.954819074
0,20,180,96.25028049,96.47570161,0.70189303
0,20,200,95.82684337,96.01216636,0.520027728
10,20,100,96.74635935,95.70362581,3.048272296
10,20,120,nan,nan,nan
10,20,140,96.34425905,95.92625785,1.35951454
10,20,160,96.17548333,96.15380692,0.958981999
10,20,180,97.12328046,96.41617103,0.706050093
10,20,200,97.12722919,96.36555432,0.525431427
20,20,100,96.75219393,96.01390699,3.058742515
20,20,120,95.6919361,96.04086694,1.974332887
20,20,140,96.08500154,96.48439428,1.350603154
20,20,160,96.76846412,96.47011342,0.955564617
20,20,180,95.70444577,95.04902203,0.680997511
20,20,200,95.9790133,95.95628733,0.512504202
-20,40,100,96.49182895,96.2849227,2.56851904
-20,40,120,95.45154922,96.19986371,1.680175578
-20,40,140,95.03099252,96.10129405,1.150950833
-20,40,160,97.24243724,96.56056307,0.836997782
-20,40,180,96.48783704,96.03027631,0.605347383
-20,40,200,96.32012798,96.54017968,0.452625938
-10,40,100,95.93224082,95.95764859,2.679459845
-10,40,120,97.06403282,96.3277841,1.791850174
-10,40,140,96.63185381,96.4194683,1.243885116
-10,40,160,96.9161981,95.84985126,0.881933327
-10,40,180,96.30858901,95.56365614,0.645198013
-10,40,200,96.3952329,95.80255715,0.486568008
0,40,100,96.48298463,95.58879455,2.767646137
0,40,120,95.97975676,96.3032763,1.840915643
0,40,140,96.43285975,96.30154915,1.286381328
0,40,160,95.8464329,96.17854357,0.908016602
0,40,180,96.85354342,96.37388813,0.676000497
0,40,200,96.36235075,95.66058411,0.502503991
10,40,100,96.72310376,95.49054646,2.822733291
10,40,120,96.29172107,96.21017028,1.887867241
10,40,140,96.10696979,96.29981212,1.303569767
10,40,160,96.39265629,95.91241003,0.928351546
10,40,180,95.72513637,95.88501198,0.678053487
10,40,200,95.5844199,95.62058075,0.506443909
20,40,100,96.63248394,95.90203841,2.883313127
20,40,120,96.97859386,96.29376023,1.920581917
20,40,140,96.38034803,95.69318072,1.313486582
20,40,160,96.09855224,96.50335506,0.932733547
20,40,180,95.81264804,96.28408198,0.676293755
20,40,200,96.7999528,96.2921213,0.511206947
-20,60,100,96.25514516,95.37313628,2.075595281
-20,60,120,96.16025113,95.95095943,1.437849501
-20,60,140,96.55472471,95.75325656,1.010733635
-20,60,160,96.04436637,95.84307719,0.735628904
-20,60,180,95.63064586,95.75196054,0.544459965
-20,60,200,95.7069076,95.71096818,0.414018333
-10,60,100,96.38789689,95.98740641,2.286980537
-10,60,120,95.47455849,95.65611397,1.543659319
-10,60,140,96.26954189,96.11502181,1.103285672
-10,60,160,96.57121071,95.79930592,0.800072376
-10,60,180,95.76980887,96.22204261,0.592233374
-10,60,200,96.02269653,95.41368841,0.448620739
0,60,100,96.68899525,96.24240677,2.425498647
0,60,120,96.30988155,96.31955306,1.653341532
0,60,140,96.77197679,95.87036861,1.172558877
0,60,160,95.94948719,96.0752844,0.845493717
0,60,180,96.1380205,96.41706384,0.626824818
0,60,200,96.59639195,95.65153657,0.474839449
10,60,100,96.29765024,95.88925304,2.488507495
10,60,120,96.3406749,96.38728453,1.709284648
10,60,140,96.17731317,96.52868264,1.213100721
10,60,160,96.17974054,96.13002718,0.873135504
10,60,180,96.39907069,95.68488037,0.648452549
10,60,200,96.32019592,96.5439137,0.49171286
20,60,100,96.42748489,96.29356255,2.573380368
20,60,120,96.40744111,95.86036642,1.742590653
20,60,140,96.88408342,95.9959318,1.236125557
20,60,160,96.16996661,95.60494728,0.878654365
20,60,180,96.23069891,95.90622753,0.654129126
20,60,200,97.01186577,96.35238476,0.496539883
-20,80,100,96.49562225,95.72752455,1.596628663
-20,80,120,nan,nan,nan
-20,80,140,96.76833219,96.56015187,0.847437872
-20,80,160,95.77186048,95.92526907,0.621472626
-20,80,180,96.95107666,96.49971517,0.486733444
-20,80,200,96.54157319,96.54274504,0.369772675
-10,80,100,96.14205391,95.37776772,1.80947475
-10,80,120,96.40409827,95.53168059,1.297867267
-10,80,140,96.61588343,96.60971581,0.949268077
-10,80,160,96.36098573,95.75448786,0.698683585
-10,80,180,96.11064603,95.41925433,0.53262254
-10,80,200,95.39130579,96.05740258,0.407635643
0,80,100,96.5709391,96.24715486,1.972500407
0,80,120,95.54180939,96.18370287,1.395321141
0,80,140,96.21598313,95.55833846,1.019186994
0,80,160,96.48129691,96.33559299,0.766702585
0,80,180,96.38342961,95.97941386,0.574783297
0,80,200,96.22916661,96.19789404,0.44282103
10,80,100,95.47768489,95.8493714,2.081532088
10,80,120,95.8067561,95.83802047,1.481102117
10,80,140,95.95074423,96.31586935,1.07699404
